Tweet,SLO
 slomention from the archive  shenhua mine the federal government could have chosen farming over coal slourl,social
 slomention slohashtag no definite link between slohashtag from slohashtag mine amp slohashtag slohashtag slohashtag slourl https…,environmental
 slomention 75 surveyed in slohashtag want slohashtag subsidies redirected to public services slohashtag slohashtag slourl,economic
 slomention your mummy knows youre lying gregtsk tskgreg hunt no definite link between coal from adani mine amp climate change slourl,environmental
slomention the slohashtag is in danger of being destroyed where are you why are you not doing your job slohashtag slohashtag slohashtag,environmental
 slomention this is an asset not just for those who farm this area now but for those who will in the future slohashtag slohashtag https…,economic
lnp reef promises s total joke without ending all new coal mines slohashtag slohashtag slohashtag slourl,environmental
the slohashtag crops in both winter amp summer it yields 40 above the national average slohashtag slohashtag slourl,economic
slomention labor wont give money to the adani coal mine slohashtag stream live now slourl   slourl,social
steve ciobo wha good could the carmichael mine possibly do to qlders coal is not innovative slohashtag slohashtag slourl,environmental
buying back the shenhua and bhp licences could be a goodsta slomention then theres some spare change for climate change,social
 slomention if mining damages the water supplies therell be no vote amp no election that can help us slohashtag slohashtag slourl,environmental
 slomention hoping to sell coal to india slohashtag slohashtag slohashtag slourl,economic
 slomention ‘‘if slomention amp slomention can’t protect the most precious farming area then what use are they’’ slohashtag https…,social
 slomention as enviro minister slomention approved and reapproved the massive adani coal mine now he says my work is done slourl,social
 slomention whats that adani saviour of jobs just not the saviour of  the great barrier reef oh wrong mine slohashtag slourl,economic
good news 4 slohashtag moodys revises adani coal pos ratings outlook to negative slourl slourl,economic
 slomention fracking frydenberg is new minister for energy amp environment  the slohashtag will be no barrier to slohashtag amp ginas coal…,environmental
 slomention great news adani mulling exit well done all who opposed this insane mine slourl slohashtag slohashtag ht…,social
 slomention what’s the next generation going to say if we let this mine destroy the underground water” slohashtag slohashtag https…,environmental
 slomention after years of approving reefkilling coal projects slomention finally recognised as minister for industry not environment we…,environmental
 slomention no reason for adani or any new coal mines slohashtag slohashtag slohashtag slourl,social
 slomention solar has won even if slohashtag were free to burn power stations couldnt compete slohashtag slohashtag slohashtag https…,social
 slomention seems its everyone but slomention that care about australian agriculture slohashtag slohashtag slourl,social
ciobo says we have a transition plan but you said carmichael mine thats not a transition you dumbass slohashtag slohashtag slohashtag,environmental
 slomention narrabri gas proj trojan horse for santoss real intentions which is to slohashtag mine the slohashtag slohashtag https…,social
 slomention spot the obvious error in this sentence we cant save our water supply because of the constitution slohashtag,environmental
 slomention slohashtag is well aware its project doesnt stack up financially slohashtag slohashtag slohashtag slohashtag slourl,economic
 slomention oh slomention really theres no definite link between coal from adani mine and climate change slourl,environmental
slohashtag slohashtag mine will destroy our land and our culture we need to stop them slohashtag slourl slohashtag slohashtag,environmental
 slomention water resources dont understand boundary fences slohashtag could be mining someone elses supply slohashtag slohashtag https…,environmental
 slomention latest worrying news from the great barrier reef slourl slohashtag slohashtag slohashtag,environmental
 slomention reminderslomention has ruled out fed  for adani mine on tv at slohashtag not just some pay official https…,economic
 slomention our best land should not be used for shoterm gain slomention slohashtag slohashtag slohashtag slohashtag https…,social
oh  ffs greg hunt no definite link between coal from adani mine and climate change slourl,environmental
government rules out public funds for adani coal project activists claim  business  the guardian slourl,economic
sa is canary in the coalmine even former renewables spruiker has second thoughts  renewables rollback must begin slourl,environmental
 slomention bhp brains is what they crave but will they find any in their uranium cranium slohashtag slourl,social
slomention slomention adani blame climate activists for delay but indian minister says no coal impos within 3 yrs slourl,environmental
 slomention slomention shoen has committed to not funding adani did you know,economic
and reaction from slomention etc slohashtag slohashtag slourl,environmental
 slomention slohashtag mining is massive user of fresh water insanity to approve adani mine when 80 qld in drought slohashtag,environmental
slohashtag residents take slohashtag slohashtag slohashtag terminal expansion to supreme cou  slourl slomention slohashtag,environmental
 slomention adani accused former environment minister jairam ramesh of making him and his company a political target slourl,social
 slomention coal ship runs aground on great barrier reef  oil spill stretches 3km no more coal  slohashtag slohashtag slohashtag slohashtag https…,environmental
 slomention george brandis the best chance for economic prosperity in central queensland is the adani coal mine  so innovative and agi…,economic
 slomention we want a future in farming to threaten water amp food production for a 30 year mine is just plain stupid slohashtag https…,environmental
 slomention “with coal in structural decline its economically insane to be sacrificing farm land slohashtag slohashtag slohashtag https…,economic
 slomention willow tree against slohashtag and slohashtag save slohashtag slourl,social
 slomention turnbull rules out slohashtag funding under pressure from person in a nemo suit thats good right slourl slohashtag,environmental
 slomention war on slohashtag santos to drill for csg in new england docs reveal slourl slohashtag slohashtag ht…,economic
 slomention the future of some of the richest farm land is at risk it should ring alarm bells with any australian” slohashtag https…,social
 slomention i found dory shes out at a polling booth for australias federal election slohashtag slomention slourl,environmental
george brandis jobs of the future hinge on slohashtag slohashtag slomention slomention  slourl slourl,social
 slomention what slomention intends to do with its donations to slomention slohashtag slohashtag slourl,social
 slomention 75 surveyed in slohashtag want slohashtag subsidies redirected to essential public services slohashtag slohashtag slohashtag https…,economic
 slomention corporate background check ignores foreign environmental offences  fails to assess real risks inc re slohashtag slourl,environmental
 slomention greg hunt no definite link between coal from adani mine and climate change slourl,social
 slomention labor will not suppo slohashtag proposed mega coalmine that threatens slohashtag  slourl slourl,economic
slomention if australia was run like a business we wouldnt do adani as too financially risky but were run for business slohashtag,social
 slomention mike baird to protect greyhounds but not farmersamp water threatened by new coal mines ampcoal seam gas slohashtag slohashtag ht…,environmental
